Darija_Arabe,Anglais
"""شنو وقت العرض ديال""""كوسيز لوف""""؟""","""What time is the Causes Love show?"""
آسف. حتى واحد ما كيجاوب على التلفون.,Sorry. No one is answering the phone.
نيفي كينزف.,My nose is bleeding.
ملي تشي وحدين كيمشيو للمحطة المركزية دطوكيو وللسلسلات العالمية دالأوطيلات.,When some people go to Tokyos central station and global hotel chains.
تلاتين جنيه، عافاك.,"Thirty pounds, please."
اسمح ليا. فين كاين التلفون العمومي؟,Excuse me. Where is the public phone?
حسنا. واش تبغي القهوة ديالك دابا أو لا من بعد؟,Okay. Do you want your coffee now or later?
شكرا ليك، على كل حال.,"Thank you, anyway."
نعم. اخديت شوية دالمحار طري الليلة الفايتة. مداقو غريب.,Yes. I had some fresh clams last night. Their taste is strange.
كنضن كيخليني نبان كبير.,I think it makes me look older.
يمكن ليك توريني هاداك، عافاك؟,"Can you show me that, please?"
قل لي اشنو أشهر نادي دالريغي فنيويورك.,Tell me what the most famous reggae club in New York is.
اشكون كيلعب فالمجموعة؟,Who is playing in the group?
اليوم عندنا مينسترون، كريم أسباراغوس، وحساء الخضر.,"Today we have minestrone, cream of asparagus, and vegetable soup."
كيفاش المنتوجات ديالك مختالفة على دالمنافسين ديالك؟,How are your products different from your competitors?
واش عادي حتى واحد ما يسمع لتعليمات السلامة؟,Is it normal for no one to listen to the safety instructions?
غادي ناخد واحد مارتيني معتق. وواحد عصير البرتقال ليها، عافاك.,"I’ll have an aged martini. And an orange juice for her, please."
واش عندك سوابق فأمراض القلب؟,Do you have a history of heart disease?
عيني كتضرني.,My eye hurts.
كنقلب على سيفيطما البولو.,Im looking for a polo shirt.
شي حاجة بأقل من مية دولار، عافاك.,"Something under a hundred dollars, please."
كيمشي من هنا مع التسعود.,He leaves here at nine.
شكرا ليك مع ذلك بلحاق خاصني نمشي.,"Thank you, but I still need to go."
واجهة كتلمع، عافاك.,"The front is shining, please."
بغيت تمنية تذاكر بعشرة دولار وعشرين بدولار واحد.,I want eight tickets for ten dollars and twenty for one dollar.
عندنا هاد المنتوج جديد مخصص للنسا اللي كيخدمو.,We have this new product designed for women who work.
غادي ناخد هادا.,I will take this.
راها خدمة عالية الجودة.,Its highquality work.
واش هاد الزنقة خطيرة؟,Is this street dangerous?
نعم. عافاك دير الاجراءات اللازمة.,Yes. Please take the necessary steps.
نعم، غير واحد. وقتاش غادي نعرف؟ كيفاش غادي نتعوض؟,"Yes, just one. When will I know? How will I be compensated?"
غير كانشوف، شكرا.,"Just looking, thanks."
كانضن تقدر تلقى كلشي فسوبر مارشي. إلا ماكانش، ماتقلقش. غادي نمشي غدا للصيدلية.,"I think you can find everything in the supermarket. If not, don’t worry. I’ll go to the pharmacy tomorrow."
هادشي ماشي ضروري، سيدي. غادي نردو بالنا من هادشي منين تتسجل. التسجيل غادي يبدا مع الجوج و نص ديال الزوال، بالحق حنا يمكن لينا ناخدو الأمتعة ديالك إلا بغيتي تتسارى قبل.,"This is not necessary, sir. We will take care of this when you register. Registration will start at 2:30 PM, but we can take your luggage if you want to stroll around before."
هاهي بطاقة الهوية ديالي.,Here is my ID card.
تقدر تجيبلي كاس دالما غليان؟,Can you bring me a glass of boiling water?
عندي مرض مزمن.,I have a chronic illness.
كانضن كاين شي غلط فالفاتورة. تقدر تتحقق، عافاك؟,"I think theres a mistake in the bill. Can you check, please?"
كانفضلوا طاولة حدا النافذة.,We prefer a table by the window.
تقدر تخوي طفاية السجائر، عافاك؟,"Can you empty the ashtray, please?"
شناهما بلايص سياحية للي معروفين هنا؟,What are the famous tourist places here?
تشرفت بمعرفتك، سيد سميث.,"Pleasure to meet you, Mr. Smith."
بغيت نطول الاقامة ديالي يومين اخرى.,I want to extend my stay by two more days.
عافاك قل لي أرخص طريقة باش نمشي لسان فرانسيسكو.,Please tell me the cheapest way to go to San Francisco.
واخا تعمل فيا واحد الخير؟,Can you do me a favor?
إينا نوع ديال الريحة بغيتي؟,What type of perfume do you want?
واش هاد الخط مباشر؟,Is this line direct?
نشوفوا. الباراة غادي تبدا مع الجوج؟ أه، نقدرو نديروه.,"Lets see. The match will start at two? Yes, we can do it."
بغيت نهبط فسان بوول.,I want to go to the swimming pool.
امن لأي درجة؟,Safe to what extent?
واش نقدر نضيف فيه رسالة؟,Can I add a message?
سيد واتسن، مركز جوج زيرو واحد، عافاك.,"Mr. Watson, center 201, please."
ماعرفتش إينا واحد ندير.,I dont know which one to choose.
واش كاتعرف مطعم، كيوكا؟,"Do you know the restaurant, Kiouka?"
ها انت. راه هادا هو الأكتر شعبية.,Here you are. This is the most popular one.
عندي حجز، أكيياما.,"I have a reservation, Akiyama."
منين تخرج من المصعد، غادي تشوفو على يمينك.,"When you exit the elevator, you will see it on your right."
حسنا، تكي على هاد الزر. يأ، هادشي ماخدامش. اسمح ليا، راه تهرس.,"Okay, press this button. Oh, this isnt working. Sorry, its broken."
كيف انت، سيد تاكاجي؟ ماتشاوفناش من الربيع اللي فات، ياك؟,"How are you, Mr. Takagi? We havent seen you since last spring, right?"
شفنا بزاف دالحوت المهاجر.,We saw a lot of migratory fish.
إذن غادي نرجعوا من بعد.,"So, we will come back later."
كانتساءل وقتاش يمكن لي نرجع لهنا.,I wonder when I can come back here.
غير ذهاب.,Just go.
غادي نغلاظ إلا بقيت هنا جالس غير كاناكل.,I will gain weight if I stay here just eating.
إلا كنتي محتاج للمساعدة، ماترددش فالاتصال بالمجموعة. عندنا اللي كايتكلم باليابانية، الفرنسية، الصينيو و الإسبانية.,"If you need help, dont hesitate to contact the group. We have people who speak Japanese, French, Chinese, and Spanish."
ميات دولار، بلا رسوم.,"One hundred dollars, no fees."
"""عافاك سمطة المقعد و احتارم لافتة """"ممنوع التدخين"""" حتى تطفى الإشارة الضوئية.""","""Please fasten your seatbelt and respect the No Smoking sign until the light turns off."""
كاين حوض الاستحمام؟,Is there a bathtub?
هاهي بطاقة الركوب ديالك و ملصق تسجيل الامتعة ديالك.,Here is your boarding pass and your luggage tag.
واش يمكن لي نحصل على طبق إضافي؟,Can I get an extra plate?
بغيت شي دوا.,I want some medicine.
حنا بجوج بينا، إدا ناخدوا الحجم الكبير؟,"We are both together, so should we take the large size?"
خليت جواز السفر ديالي فالطاكسي.,I left my passport in the taxi.
ربعين دولار.,Forty dollars.
واش كاين شي منادي ليلي زوين فيه عروض الفلامينكو؟,Is there any nice nightclub with flamenco shows?
الأوطيل ديالنا غادي يتكلف بحجز مربية أطفال.,Our hotel will take care of booking a nanny for children
اسمح لي، غادي يكون عندنا عشرين دقيقة تأخير.,"Excuse me, we will have a twentyminute delay."
واش كاين شي مطاعم يابانية غير هنا؟,Are there any Japanese restaurants around here?
شي حاجة ساهلة للسياقة مع اضمان فاليسار.,Something easy to drive with guaranteed comfort.
واش فالقاعة أو فالهواء الطلق؟,Is it indoors or outdoors?
هاهو عنوان التسليم.,Here is the delivery address.
نعم، تقدر. هاهو ملصق تسجيل الأمتعة ديالك و بطاقة الركوب ديالك.,"Yes, you can. Here is your baggage tag and boarding pass."
أوه، مع السبعة ديال العشية، كانضن.,"Oh, around seven in the evening, I think."
تحبست على برا. ساروتي بقا وسط الطموبيلة.,I got locked outside. My key is still in the car.
يمكن لك تدير مرة أخرى أحسن قياس.,You can do it better next time.
هاد الكسوة للي عندك زوينة.,This outfit you have is beautiful.
ماضنيتش بللي غادي يكون عامر.,I dont think it will be full.
كانحس بشي وجع صعيب فالمعدة ديالي.,I feel a severe pain in my stomach.
تقدر تبدل المقعد ديالي بواحد فجهة التدخين؟,Can you change my seat to one in the smoking section?
هادي الضريبة علة الاتصالات ديال المسافات الطويلة.,This is the tax on longdistance communications.
واش كانفكر تبيع المنتوجات ديالك فالولايات المتحدة؟,Are you thinking of selling your products in the United States?
تقدر تجيب ليا بيرة اخرى؟,Can you get me another beer?
أنا و جيم كنا صحاب من أيام الثانوية.,Jim and I were friends since high school.
بيض مقلي، مع لحم الخنزير المقدد، عافاك.,"Fried eggs with bacon, please."
تذكرة ذهاب و إياب لعشرة دالرحلات، عافاك.,"A roundtrip ticket for ten trips, please."
لحظة، ألالة. غانتحقق من داكشي.,"One moment, madam. Ill check on that."
رجلي كتضرني.,My leg hurts.
حتى واحد بهاد الاسم ماكايسكن هنا.,No one with that name lives here.
فيناهي أقرب مصبنة؟,Where is the nearest laundromat?
فين يمكن لي نلقى طوبيس سياحي؟ فين و وقتاش نقدر نطلع فالطوبيس؟,Where can I find a tourist bus? Where and when can I get on the bus?
الجهة الفوقانية كبيرة شوية. يمكن لك تبدلها؟,The upper part is a bit big. Can you change it?
تقدر تبدل البلاصة معايا، عافاك؟,"Can you switch places with me, please?"
واش كاين شي ملعب دالغولف هنا؟,Is there a golf course here?
بغيت نلغي الحجز ديالي للرحلة دخمسة ماي، و نحجز ديال تسعود فبلاصتها، عافاك.,"I want to cancel my booking for the May 5th trip and book for the 9th instead, please."
المقاعد ديالنا مفرقين.,Our seats are separated.
واش يمكن لي نحتفظ بساروت البطاقة؟,Can I keep the card key?
واش كاين شي واحد يمكن ليه يفهم اليابانية؟,Is there anyone who can understand Japanese?
فالحقيقة، بغيت حتى هاد الطرد يكون مأمن.,"Actually, I want this package to be insured as well."
أنا متأسف لخبر وفاة الأب ديالك. عافاك تقبل مني تعازي الحارة.,I am sorry to hear about your fathers passing. Please accept my heartfelt condolences.
غاديناخد أيطالي، عافاك.,"I will take Italy, please."
واش درتي الفرض ديالك؟,Did you do your homework?
خمسة تذاكر دعشرة دولار، عافاك.,"Five tickets for ten dollars, please."
"""يمكن لي نحصل على جوج تذاكر للكبار ل""""كاتس""""؟""","""Can I get two adult tickets for Cats?"""
من الأحسن تجلس و ترتاح بعد هاد السفر الطويل ديالك من اليابان.,Its better to sit and rest after your long trip from Japan.
الفاتورة وصلات لمية دولار.,The bill reached one hundred dollars.
منفذ الاغاثة كاين فالقدام، فالوسط، و فاللور ديال الطيارة.,"The emergency exit is located at the front, middle, and back of the plane."
شناهي الرسوم للي ماداخلاش فيه؟,What are the fees that are not included?
واش كان متبوع؟,Was he being followed?
مزيان، تم تأكيد الحجز ديالك.,"Great, your booking has been confirmed."
فين حرقتي يديك؟,Where did you burn your hands?
شكون المصممين ديالك؟,Who are your designers?
يمكن ليك تجمعهوم مع بعضهوم؟,Can you combine them together?
بلو كات. مجموعة قديمة ديال الجاز.,Blue Cat. An old jazz band.
فشمن جزء كاينة هاد المقصورة؟,In which part is this cabin located?
الكعب عالي بزاف.,The heels are too high.
بغينا واحد الطاولة فالسطح.,We want a table on the rooftop.
مبروك، اسمعت بللي خدمتي مع شركة إي بي سي.,"Congratulations, I heard that you got a job with ABC Company."
واش داخلة فيه رسوم الخدمة؟,Does it include service charges?
هادا كيعني بللي الفيلم ماكايناسبش الأطفال للي عندهم أقل من اخمشطاشر سنة. إذن خاص الأباء يقرروا واش يخليو الأطفال يشوفو الفيلم أو لا لا .,"This means that the movie is not suitable for children under fifteen years old. Therefore, parents need to decide whether to let their children watch the movie or not."
بغيت نحجز شي طاولة مزيانة باش نشوف العرض.,I want to book a good table to see the show.
هادشي كايسوى تسعود و تسعين دولار أمريكي.,This costs ninetynine US dollars.
عندك ساعة تدير فيها للي بغيتي هنا.,You have an hour to do whatever you want here.
بغيت نرجع لطوكيو من هنا للجمعة.,I want to return to Tokyo by Friday.
كيفاش بغيتي الفلوس؟ عافاك عمر هاد الورقة و وقع هنا.,How do you want the money? Please fill out this form and sign here.
واش ماكاينش شي رسوم جمركية على هاد المجوهرات؟,Are there no customs duties on this jewelry?
إنا فيلم مشهور خدام دابا؟,Is there a famous movie playing now?
باقي مامتأكدش.,Im still not sure.
شريت عكار كهدية.,I bought property as a gift.
وقتاش كينطلق؟,When does it start?
عفوا، تقدر تعاود عافاك؟,"Sorry, can you repeat, please?"
حتى لشتنبر ألف و تسعمية و تسعود و تسعين.,Until September 1999.
واش يمكن لي نتسجل فهاد الدرس واخا باقي مبتدأ؟,Can I enroll in this course even though Im still a beginner?
بغيت نمشي للتسوق. فين كاينة أقرب منطقة تجارية؟,I want to go shopping. Where is the nearest shopping area?
بغينا نشوفو شي فيلم. باش تنصحنا؟,We want to watch a movie. What do you recommend?
شكون صايبو؟,Who made it?
"""بالحق كيفما كاتعرف غادي يكون ارخص ب""""إل تي"""".""","""But as you know, it will be cheaper with LT."""
شحال كايسوى الاتصال دالمسافة الطويلة لطوكيو؟,How much does a longdistance call to Tokyo cost?
هاد الشيفرولي كاينة فشي ألوان أخرى؟,Is this Chevrolet available in other colors?
ماقدرتش نقرر. باش تنصحني انت؟,I couldnt decide. What do you advise me?
بعض المرات كتضرني المعدة.,Sometimes my stomach hurts.
شحال للشخص الواحد؟,How much for one person?
سبقت وقت المغادرة.,I left before the departure time.
ماكتبيعوهومش مفرقين؟,Dont you sell them individually?
واش عندك شي أطباق قليلة السعرات الحرارية؟ أنا داير الريجيم، دابا.,Do you have any lowcalorie dishes? Im on a diet right now.
واش تقدر تدير ليا حجز للمسرح؟,Can you make a reservation for the theater for me?
من هنا، دور على اليمين.,"From here, turn right."
عندي قرعة ديال نبيذ الروز الياباني.,I have a bottle of Japanese rosé wine.
مقعد غير محجوز، عافاك.,"Unreserved seat, please."
أنا أسف. ها انت. واش يمكن لي نقدم لك شي حاجة للشرب؟,Im sorry. Here you are. Can I offer you something to drink?
ماغادي تخلص والو.,You wont pay anything.
بغيتك تجي معايا، عافاك.,"I want you to come with me, please."
الحجز ديالك مقبول دابا.,Your booking is now confirmed.
بغيت نحجز واحد المقعد، الدرجة الاقتصادية، للندن الاحد الجاي.,I want to book an economy class seat to London for next Sunday.
كاينة تلاتين كلمة. إذن، جات تلاتة دولار، عافاك.,"There are thirty words. So, it’s three dollars, please."
العساس ديالنا يمكن ليه يعاونك، أولا يمكن لك تحصل عليه بالطاكسي.,"Our guard can help you, or you can get it by taxi."
واش حديقة الحيوان مسدودة؟,Is the zoo closed?
نعم، عندي حجوج تذاكر لجيانت و دودجيرس.,"Yes, I have tickets for the Giants and Dodgers."
حنا من أكبر موردين للحواسب الصغيرة.,We are one of the largest suppliers of small computers.
شنو هو اسمك الأوسط؟,What is your middle name?
بغيت نحجز واحد الغرفة صغيرة.,I want to book a small room.
جوج دالناس.,Two people.
شكرا لك. حتا أنا. إلى اللقاء.,Thank you. Me too. Goodbye.
اسميتي سوزوكي. عندي حجز للستة.,My name is Suzuki. I have a reservation for six.
شي سجائر، عافاك.,"Some cigarettes, please."
بغيت غير قصة شعر.,I just want a haircut.
بغيت غورميت.,I want gourmet.
غرفة بجوج فراشات فحال مع الحمام، عافاك.,"A room with two beds and a bathroom, please."
طحت من الدروج.,I fell from the stairs.
بغيت ندير جولة فالجزيرة كلها.,I want to take a tour of the whole island.
خلينا ناخدو استراحة. تبغي شي قهوة؟,Lets take a break. Do you want some coffee?
أنا جاي.,Im coming.
خليت الساروت فالغرفة ديالي. واش نقدر ناخد ساروت اخر، عافاك؟,"I left the key in my room. Can I get another key, please?"
اشمن أيس كريم تنصحني بيه؟,Which ice cream do you recommend?
هم. هادا. اللون كايناسبك.,Them. This. The color suits you.
شحال خاصني نعطي دالبقشيش؟,How much should I tip?
اسمح لي. واش هاد الطوبيس كايمشي لهوليداي إين يونيون سكوار؟,Excuse me. Does this bus go to Holiday Inn Union Square?
واش يمكن لي نرد الطوموبيلة فبوسطن؟,Can I return the car in Boston?
تقدر تاخد ليا تذكرة؟,Can you get me a ticket?
يمكن لي نحصل على صاك كبير؟,Can I get a big bag?
هاد الحساء سخون بزاف.,This soup is very hot.
بغيت شي خيزو.,I want some carrots.
غادي نتصلوا بيك منين نلقاوه.,We will contact you when we find it.
واش هوايتك تجمع الحيوانات المحنطة؟,Is your hobby collecting taxidermy animals?
بغيت ندير حجز لرحلة الخطوط الجوية اليابانية لعشرين مارس.,I want to book a flight with Japan Airlines for March 20th.
ماكاينش مكعبات الثلج.,There are no ice cubes.
فيناهي كتب اللغة الأجنبية؟,Where are the foreign language books?
واش اليابان كتقدر تنتج جميع المواد الغذائية للي كاتحتاج ليها؟,Can Japan produce all the food it needs?
واش عندك شي روايات يابانية؟,Do you have any Japanese novels?
جوج شرائح، و واحد سبرايت.,"Two slices, and one Sprite."
كاين الزحام اليوم؟,Is it crowded today?
اعطيني شي سجائر.,Give me some cigarettes.
هادا كيعني باللي ماعمري كنفشل.,This means that I never fail.
راه غير قانوني يدخل هاد الشي للبلاد، آسف. إيوا، كنضن هاد كل شي.,"Its illegal to bring this into the country, sorry. Well, I think thats everything."
شحال من نهار دالعطلة عندك فالعام؟,How many vacation days do you have in a year?
غادي نبقاو سيمانة على الأقل.,We will stay at least a week.
بغيت مضخة دلهوا.,I want an air pump.
واش يمكن لي نمشي فالمترو لمارين تاور؟,Can I take the metro to Marine Tower?
الرحلة اللي كنت معول ناخد، إي إي احضاش، اتلغات.,"The trip I was planning to take, yes yes at eleven, got canceled."
أوه، بالصح؟ كنعيش فكاماكورا، وكانتمنى تدوز تما تزورني.,"Oh, really? I live in Kamakura, and I hope you come visit me there."
فين كاينة غرفة الرجال؟,Where is the mens room?
كنضن باللي هاد الشي جد عادي بالنسبة ليا.,I think this is very normal for me.
عندي شي حوايج للصليح.,I have some things to repair.
عافاك قل لي رقم التلفون ديالك.,Please tell me your phone number.
اسمح ليا، يمكن ليك تنصحني بشي أوطيل؟,"Excuse me, can you recommend a hotel?"
أوه، توهمت باللي اجتمعتي هنا .,"Oh, I thought you were meeting here."
هادي آخر حاجة تجيني على البال.,This is the last thing that would come to mind.
القطارات كيمشيو من كينغس كروس.,The trains depart from Kings Cross.
ضيعت باليزتي.,I lost my suitcase.
وقتاش غادي نرجعو؟,When will we return?
المراهقين اليابانيين كيهتمو بالموسيقى.,Japanese teenagers are interested in music.
بغيت نقيس هاد السبابط.,I want to try on these shoes.
نعم، اتاصلت اقبيلا شوية.,"Yes, I called a little while ago."
واش عندك الخمر المعتق، مايكون غالي بزاف؟,"Do you have aged wine, not too expensive?"
حطيت رغوة دالشعر اليوم.,I applied hair mousse today.
واش الطيارة فالوقت؟,Is the plane on time?
شحال كتكلف إعادة الإصدار؟,How much does reissuing cost?
فين يمكن ليا نشري شي تذاكرللمصاعد الجبلية؟,Where can I buy tickets for the cable cars?
نعم، أنا. كانو ساكنين احدايا فكاليفورنيا بلحاق انتقلو لفلوريدا هادي عامين. وانتا؟ واش كتسافر بوحدك؟,"Yes, I am. They used to live next to me in California, but they moved to Florida two years ago. And you? Do you travel alone?"
ستونيهينغ كيبان مزيان. واش كاين شي رحلات سياحية لتما؟,Stonehenge looks nice. Are there any tourist trips there?
تصابيت بجروح خطيرة فرجلي دليمين.,I sustained serious injuries in my right leg.
أنا مقيم فأوطيل هيلتون.,I am staying at the Hilton Hotel.
ماعندكش شي حاجة للأكل؟,Do you have anything to eat?
وقتاش كينطلق القطار؟,When does the train leave?
بالبريد الأرضي أولا البحري.,By ground mail or maritime.
كيفاش بغيتي يكون طياب شريحة اللحم ديالك، أسيدي؟,"How would you like your steak cooked, sir?"
بغيت نركب الطوبيس النافيت للمطار.,I want to take the shuttle bus to the airport.
أنا مريض.,I am sick.
شكرا ليك حيت وصلتيني للمطار. انتا ضريف بزاف.,Thank you for taking me to the airport. You are very kind.
ولدي حالتو بالسخانة.,My son has a fever.
سمح ليا السبت غادي يكون مغيم.,"Sorry, Saturday will be cloudy."
شحال يقدر يكلف كراء سيارة بالشيفور ديالها؟,How much could it cost to rent a car with its driver?
فهاد القياس، عافاك.,"At this size, please."
الأوسمة الثقافية كاتعطى للفنانين والباحثين المتميزين فهاد النهار.,Cultural medals are awarded to outstanding artists and researchers on this day.
أنا ياباني.,I am Japanese.
كيعجبني التفاح، بلحاق اليوم بغيت شوية دالعنب.,"I like apples, but today I want some grapes."
عافاك بطل ليا البطاقة ديالي.,Please cancel my card for me.
واحد الكاس دالنبيذ الاحمر، واخا؟,"A glass of red wine, please?"
بالتأكيد. عندك فبالك شي حاجة معينة، ماكلة معينة مثلا؟,"Sure. Do you have something specific in mind, like a particular dish?"
واش هاد الفضة مغشوشة؟,Is this silver fake?
آشناهي هاد الصلصة؟,What is this sauce?
عندي ألف دولار نقدا.,I have a thousand dollars in cash.
دور على اليسار. راه على اليمين.,Turn left. Its on the right.
شحال التكلفة لتلتيام؟,How much is the cost for three days?
تقدر تهز هاد الأمتعة، عافاك؟,"Can you carry this luggage, please?"
هاد الشي غالي بزاف.,This is very expensive.
طوموبيلة صغيرة، ومن الأحسن تكون طوموبيلة يابانية.,"A small car, preferably a Japanese car."
اشنو اللي كيميز هاد البلاد؟,What makes this country special?
عندنا جوج أو لا تلاتة مزيانين فهاد الحي. واش بغيتي نحجز ليك؟,We have two or three good ones in this neighborhood. Do you want me to book one for you?
نعم. خد الطوبيس اللي غادي لكيوطوإكي.,Yes. Take the bus going to KyotoEki.
واش يمكن لي نحصل على مية جرام ديال شلاضة اليقطين؟,Can I get 100 grams of pumpkin salad?
عندك تمبر آخر؟,Do you have another stamp?
بالمناسبة، واش عمرت قبل ما اترجع الطوموبيل؟,"By the way, did you refuel before returning the car?"
بغيت نمشي لسان دييغو.,I want to go to San Diego.
بعد الوفاة ديالو، كان شي إصلاح سياسي، واللي معروف بإصلاح عهد تايكا.,"After his death, there was a political reform known as the Taika Reform."
واش هادا محصور على الأعضاء؟,Is this restricted to members?
راه خليت صاك اليد ديالي فالقطار.,I left my handbag on the train.
اسمح ليا، بلحاق هاد الكلمة، أوميديتوجوزايماسو، طويلة على الحساب العادي دلكلمات. كلمة واحدة فيها اخمسطاشر حرف، خاصها اتقسم لجوج أقسام.,"Excuse me, actually this word, ""Omedetougozaimasu,"" is long compared to the usual length of words. One word with fifteen letters needs to be split into two parts."
امشى من محطة الطوبيس رقم جوج.,He left from bus station number two.
إلا بغيتيه.,If you want it.
إينا نوع دالشلاضة بغيتي؟,What type of salad do you want?
يمكن ليك ترسم ليا خريطة اللي نقدر نستعملها هنا؟,Can you draw me a map that I can use here?
غادي ناخد اللي نصحتيني بيه.,I will take what you advised me.
اشنو واقع دابا؟,Whats happening now?
بغيت قلم دالريشة، عافاك.,"I want a fountain pen, please."
نعم، أوه، وكانخلص ببطاقة الائتمان.,"Yes, oh, and I will pay by credit card."
عافاك جيب ليا الفطور للغرفة ديالي.,Please bring me breakfast to my room.
واش عندك شي رحلات للبانثيون؟,Do you have any trips to the Pantheon?
طيحت ملعقتي.,I dropped my spoon.
ادفع الشيك الشخصي.,Pay the personal check.
تكلفة الغرفة هي ستة آلاف ين للليلة.,The cost of the room is six thousand yen per night.
نعم، شكرا ليك. اسميتي مايومي ياماغوشي من اليابان. عاد اوصلت للأوطيل.,"Yes, thank you. My name is Mayumi Yamaguchi from Japan. I just arrived at the hotel."
رجلي كتضرني.,My leg hurts.
الشمس قاصحة بزاف. واش درتي شي واقي الشمس؟,The sun is very strong. Did you put on any sunscreen?
غايستغرق تقريبا نص نهار. غادي يكون المرشد هنا باش يديك مع الساعة التسعود دالليل تقريبا.,It will take about half a day. The guide will be here to take you around 9 PM.
فين كاين الملعب؟,Where is the stadium?
واحد الكاس ضايع.,A glass is missing.
بغيت صوص إيطالي.,I want Italian sauce.
واخا، كتبان فنفس القياس ديالي. أنا عادة كانلبس المتوسط.,"Okay, it looks like its my size. I usually wear medium."
هاد الساعة القديمة ما بقاتش خدامة. يمكن لي نبدلها؟,This old clock is no longer working. Can I replace it?
مزيان، كيبان ضيق من لكتاف.,"Good, it looks tight around the shoulders."
بغيت ناخد بطاقة احتياطية. وقتاش يمكن لي نحصل عليها؟,I want to get a backup card. When can I receive it?
واش تقدر تتصل بالبوليس؟,Can you call the police?
رقم التلفون ديالي هو ربعة زيرو ربعة واحد جوج تلاتة ربعة خمسة ستة سبعة.,My phone number is 4041234567.
شي مشكل؟,Any problem?
أطباق السنة الجديدة اللي مسمية أوسيشي ريوري مازال كاتوجد فكل دارتقريبا لحد الآن.,"New Years dishes, called Osechi Ryori, are still being prepared in almost every household until now."
يمكن نهز معايا هاد الشي فالطيارة؟,Can I take this with me on the plane?
جولة دنص نهار ما فيها ما يتشاف.,A pointless day with nothing to see.
غادي نسول إلا بإمكاني نتصور معاه.,I will ask if I can take a picture with him.
من اشمن نوع دالجلد مصنوع هاد الصاك؟,What type of leather is this bag made of?
واخا. كل ما بغيت نعرف هو واش هاد العمل غادي يولي مربح.,Okay. All I want to know is if this work will become profitable.
هاد الشي بنين بزاف.,This is very delicious.
الطريفة مختلفة على اللي فالعداد.,The fare is different from whats on the meter.
كاتفللا. واش كاين ما ارخص باش يتصيفط؟,"Youre asking: ""Is there anything cheaper for shipping?"""
بغيت نصرف شي مبلغ من الين الياباني للدولار الأمريكي.,I want to exchange some Japanese yen to US dollars.
مزيان. بغيتي شي زيف باش يتماشى مع هادا؟,Good. Do you want a scarf to match this?
يمكن لي ننتقل للصف الاول؟,Can I move to the first row?
بغيت نمشي فحالي دابا. تقدر تهبط ليا الأمتعة ديالي لتحت؟,I want to leave now. Can you bring my luggage downstairs?
شارجي البطارية، عافاك.,"Charge the battery, please."
واش كاينة شي عيادة قريبة لهنا؟,Is there a clinic nearby?
أنا مستعد للطلب.,I am ready to order.
واش عندك تورنوفيسات؟,Do you have screwdrivers?
بمن نتاصل إلا كان عندي شي مشكل؟,Who should I contact if I have a problem?
واش غاتمشي هاد رحلة الطيران فوقتها المحدد؟,Will this flight depart on time?
أملاح الأعشاب دالحمام كتخلي البشرة ديالك ناعمة ورطبة.,Herbal bath salts leave your skin soft and moisturized.
غادي ناخد تلتمية غرام من هادا.,I will take 300 grams of this.
مشى كيجري فوسط الشارع فممر غير آمن.,He ran in the middle of the street in an unsafe crossing.
بهاد الخصوص، واش عندك تأمين السفر لهاد الرحلة؟,"In this regard, do you have travel insurance for this trip?"
هادا للاستعمال الشخصي ديالك، بطبيعة الحال.,"This is for your personal use, of course."
اكتب اسم شركة الطيران ورقم الرحلة، حتى هو.,Write the name of the airline and the flight number as well.
بغيت نخلي الطوموبيل فمطار سان فرانسيسكو.,I want to leave the car at San Francisco Airport.
شي تحلية؟,Any dessert?
بغيت نتأكد من وقت المغادرة.,I want to confirm the departure time.
غادي نكون فأوطيل هيلتون.,I will be at the Hilton Hotel.
واش تقدر تصيفط لي هاد الرسالة؟,Can you send me this message?
بالصح. اليوم الأحد، والأحد أسوأ يوم.,"Indeed. Today is Sunday, and Sunday is the worst day."
عندنا عائلة مكونة من ربعة، بما فيهم والديا، اختي الصغيرة وأنا.,"We have a family of four, including my parents, my little sister, and me."
اشنو اسمية الفنان؟,What is the artists name?
اطلب منو يتصل قبل العشرة، توقيت اليابان.,"Ask him to call before ten, Japan time."
كيفاش يمكن ليا نوصل للمعبد؟,How can I get to the temple?
اشنو تشرب؟,What will you drink?
واش يمكن ليك تقول لي رقم التلفون دشركة الطاكسيات؟,Can you tell me the taxi companys phone number?
تلاتة كعكات وكوكيز، عافاك.,"Three cakes and cookies, please."
غادي نكون هنا من دابا شي ساعة.,I will be here in about an hour.
أهلا. بيير وان فيش أند غريل. واش يمكن لي نعاونك.,Hello. Pierre One Fish and Grill. How can I help you?
شكرا ليك. واش نقدر نهضر مع السيدة ياماتو، عافاك؟,"Thank you. Can I speak with Mrs. Yamato, please?"
واش كاين شي محل معفي من الرسوم الجمركية هنا؟,Is there a dutyfree shop here?
كيفاش كتجبد الفلوس؟,How do you make money?
نعم. بغيت نعاود نأكد الحجز ديالي للرحلة اسبعطاش لطوكيو لهاد الأحد. اسميتي ريكو موري. إمأوإغأي.,Yes. I want to reconfirm my booking for the flight on the 17th to Tokyo this Sunday. My name is Riko Mori. MORI.
كنتساءل إينا لون غادي يكون على الموضة هاد الخريف.,I wonder which color will be in fashion this fall.
